,Poster,Time,T2,Title,Author,ID,Date,Session
65,51,10:00,22:00,SCT: Set Constrained Temporal Transformer for Set Supervised Action Segmentation,"Mohsen Fayyaz, Jürgen Gall",1948,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
66,52,10:00,22:00,3DV: 3D Dynamic Voxel for Action Recognition in Depth Video,"Yancheng Wang, Yang Xiao, Fu Xiong, Wenxiang Jiang, Zhiguo Cao, Joey Tianyi Zhou, Junsong Yuan",2075,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
67,53,10:00,22:00,Adaptive Interaction Modeling via Graph Operations Search,"Haoxin Li, Wei-Shi Zheng, Yu Tao, Haifeng Hu, Jian-Huang Lai",2261,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
68,54,10:00,22:00,Front2Back: Single View 3D Shape Reconstruction via Front to Back Prediction,"Yuan Yao, Nico Schertler, Enrique Rosales, Helge Rhodin, Leonid Sigal, Alla Sheffer",2312,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
69,55,10:00,22:00,SDC-Depth: Semantic Divide-and-Conquer Network for Monocular Depth Estimation,"Lijun Wang, Jianming Zhang, Oliver Wang, Zhe Lin, Huchuan Lu",2651,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
70,56,10:00,22:00,Single-View View Synthesis With Multiplane Images,"Richard Tucker, Noah Snavely",2709,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
71,57,10:00,22:00,Deep Parametric Shape Predictions Using Distance Fields,"Dmitriy Smirnov, Matthew Fisher, Vladimir G. Kim, Richard Zhang, Justin Solomon",2724,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
72,58,10:00,22:00,Leveraging Photometric Consistency Over Time for Sparsely Supervised Hand-Object Reconstruction,"Yana Hasson, Bugra Tekin, Federica Bogo, Ivan Laptev, Marc Pollefeys, Cordelia Schmid",2935,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
73,59,10:00,22:00,Ensemble Generative Cleaning With Feedback Loops for Defending Adversarial Attacks,"Jianhe Yuan, Zhihai He",4403,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
74,60,10:00,22:00,Temporal Pyramid Network for Action Recognition,"Ceyuan Yang, Yinghao Xu, Jianping Shi, Bo Dai, Bolei Zhou",4504,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
75,61,10:00,22:00,FaceScape: A Large-Scale High Quality 3D Face Dataset and Detailed Riggable 3D Face Prediction,"Haotian Yang, Hao Zhu, Yanru Wang, Mingkai Huang, Qiu Shen, Ruigang Yang, Xun Cao",4593,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
76,62,10:00,22:00,Structure-Guided Ranking Loss for Single Image Depth Prediction,"Ke Xian, Jianming Zhang, Oliver Wang, Long Mai, Zhe Lin, Zhiguo Cao",4645,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
77,63,10:00,22:00,In Perfect Shape: Certifiably Optimal 3D Shape Reconstruction From 2D Landmarks,"Heng Yang, Luca Carlone",4787,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
78,64,10:00,22:00,When NAS Meets Robustness: In Search of Robust Architectures Against Adversarial Attacks,"Minghao Guo, Yuzhe Yang, Rui Xu, Ziwei Liu, Dahua Lin",4856,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
79,65,10:00,22:00,Towards Transferable Targeted Attack,"Maosen Li, Cheng Deng, Tengjiao Li, Junchi Yan, Xinbo Gao, Heng Huang",4937,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
80,66,10:00,22:00,Self-Supervised Human Depth Estimation From Monocular Videos,"Feitong Tan, Hao Zhu, Zhaopeng Cui, Siyu Zhu, Marc Pollefeys, Ping Tan",4998,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
81,67,10:00,22:00,Recursive Social Behavior Graph for Trajectory Prediction,"Jianhua Sun, Qinhong Jiang, Cewu Lu",5079,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
82,68,10:00,22:00,Context-Aware and Scale-Insensitive Temporal Repetition Counting,"Huaidong Zhang, Xuemiao Xu, Guoqiang Han, Shengfeng He",5137,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
83,69,10:00,22:00,OASIS: A Large-Scale Dataset for Single Image 3D in the Wild,"Weifeng Chen, Shengyi Qian, David Fan, Noriyuki Kojima, Max Hamilton, Jia Deng",5268,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
84,70,10:00,22:00,VPLNet: Deep Single View Normal Estimation With Vanishing Points and Lines,"Rui Wang, David Geraghty, Kevin Matzen, Richard Szeliski, Jan-Michael Frahm",5500,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
85,71,10:00,22:00,Adversarial Robustness: From Self-Supervised Pre-Training to Fine-Tuning,"Tianlong Chen, Sijia Liu, Shiyu Chang, Yu Cheng, Lisa Amini, Zhangyang Wang",5580,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
86,72,10:00,22:00,Defending Against Universal Attacks Through Selective Feature Regeneration,"Tejas Borkar, Felix Heide, Lina Karam",5625,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
87,73,10:00,22:00,Universal Physical Camouflage Attacks on Object Detectors,"Lifeng Huang, Chengying Gao, Yuyin Zhou, Cihang Xie, Alan L. Yuille, Changqing Zou, Ning Liu",5646,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
88,74,10:00,22:00,Intra- and Inter-Action Understanding via Temporal Action Parsing,"Dian Shao, Yue Zhao, Bo Dai, Dahua Lin",5679,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
89,75,10:00,22:00,Lightweight Photometric Stereo for Facial Details Recovery,"Xueying Wang, Yudong Guo, Bailin Deng, Juyong Zhang",5723,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
90,76,10:00,22:00,Bundle Pooling for Polygonal Architecture Segmentation Problem,"Huayi Zeng, Kevin Joseph, Adam Vest, Yasutaka Furukawa",5749,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
91,77,10:00,22:00,AvatarMe: Realistically Renderable 3D Facial Reconstruction “In-the-Wild”,"Alexandros Lattas, Stylianos Moschoglou, Baris Gecer, Stylianos Ploumpis, Vasileios Triantafyllou, Abhijeet Ghosh, Stefanos Zafeiriou",5793,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
92,78,10:00,22:00,Defending Against Model Stealing Attacks With Adaptive Misinformation,"Sanjay Kariyappa, Moinuddin K. Qureshi",5856,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
93,79,10:00,22:00,Learning to Generate 3D Training Data Through Hybrid Gradient,"Dawei Yang, Jia Deng",5913,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
94,80,10:00,22:00,Cascaded Refinement Network for Point Cloud Completion,"Xiaogang Wang, Marcelo H. Ang Jr., Gim Hee Lee",5939,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
95,81,10:00,22:00,Enhancing Intrinsic Adversarial Robustness via Feature Pyramid Decoder,"Guanlin Li, Shuya Ding, Jun Luo, Chang Liu",5942,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
96,82,10:00,22:00,Learning to Discriminate Information for Online Action Detection,"Hyunjun Eun, Jinyoung Moon, Jongyoul Park, Chanho Jung, Changick Kim",5950,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
97,83,10:00,22:00,Adversarial Examples Improve Image Recognition,"Cihang Xie, Mingxing Tan, Boqing Gong, Jiang Wang, Alan L. Yuille, Quoc V. Le",5972,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
