Title,Author,URL,Date,Time
Zeroth Order Optimization: Theory and Applications to Deep Learning,"Pin-Yu Chen, Sijia Liu",https://sites.google.com/umich.edu/cvpr-2020-zoo,15-Jun,Half-day (afternoon)
Vision Meets Mapping 2 – Computer Vision for Location-Based Reasoning and Mapping,Xiang Ma,https://visionmeetsmapping.github.io/,19-Jun,Half-day (morning)
Disentangled 3D Representations for Relightable Performance Capture of Humans,"Sean Fanello, Christoph Rhemann, Jonathan Taylor, Sofien Bouaziz, Adarsh Kowdle, Rohit Pandey, Sergio Orts-Escolano, Paul Debevec, Shahram Izadi",https://augmentedperception.github.io/cvpr2020/,14-Jun,Full-day
Recent Advances in Vision-and-Language Research,"Zhe Gan, Licheng Yu, Yu Cheng, Jingjing Liu, Xiaodong He",https://rohit497.github.io/Recent-Advances-in-Vision-and-Language-Research/,15-Jun,Half-day (afternoon)
Learning and Understanding Single Image Depth Estimation in the Wild,"Matteo Poggi, Fabio Tosi, Filippo Aleotti, Stefano Mattoccia, Clement Godard, Michael Firman, Jamie Watson, Gabriel Brostow",https://sites.google.com/view/cvpr-2020-depth-from-mono/home,15-Jun,Half-day (morning)
3D Face Modeling and Reconstruction,"Claudio Ferrari, Stefano Berretti, Alberto Del Bimbo",https://sites.google.com/unifi.it/3dface-tutorial-cvpr20,15-Jun,Half-day (morning)
Efficient Data Annotation for Self-Driving Cars via Crowdsourcing on a Large-Scale,"Alexey Drutsa, Denis Rogachevsky, Olga Megorskaya, Anton Slesarev, Evfrosiniya Zerminova, Daria Baidakova, Andrey Rykov, Alexey Golomedov",https://research.yandex.com/tutorials/crowd/cvpr-2020,15-Jun,Full-day
Learning Representations via Graph-Structured Networks,"Xiaolong Wang, Sifei Liu, Saining Xie, Shubham Tulsiani, Chen Sun, Han Hu, Jan Kautz, Ming-Hsuan Yang, Abhinav Gupta, Trevor Darrell",https://xiaolonw.github.io/graphnnv2/,14-Jun,Half-day (afternoon)
How to Write a Good Review?,"Laura Leal-Taixé, Torsten Sattler",https://sites.google.com/view/making-reviews-great-again/,14-Jun,Half-day (morning)
Neuro-Symbolic Visual Reasoning and Program Synthesis,"Jiayuan Mao, Kevin Ellis, Chuang Gan, Jiajun Wu, Danny Gutfreund, Josh Tenenbaum",http://nscv.csail.mit.edu,14-Jun,Half-day (morning)
A Comprehensive Tutorial on Video Modeling,"Yi Zhu, Zhi Zhang, Yuanjun Xiong, Mu Li",https://cvpr20-video.mxnet.io,14-Jun,Half-day (morning)
"Towards Annotation-Efficient Learning: Few-Shot, Self-Supervised, and Incremental Learning Approaches","Spyros Gidaris, Karteek Alahari, Andrei Bursuc, Relja Arandjelović",https://annotation-efficient-learning.github.io/,19-Jun,Half-day (morning)
Novel View Synthesis: From Depth-Based Warping to Multi-Plane Images and Beyond,"Orazio Gallo, Alejandro Troccoli, Varun Jampani",https://nvlabs.github.io/nvs-tutorial-cvpr2020/,14-Jun,Full-day
All You Need to Know About Self-Driving,"Ersin Yumer, Raquel Urtasun",http://www.allaboutselfdriving.com/,14-Jun,Full-day
Cycle Consistency and Synchronization in Computer Vision,"Tolga Birdal, Qixing Huang, Federica Arrigoni, Leonidas Guibas",http://synchinvision.github.io,14-Jun,Half-day (morning)
From NAS to HPO: Automated Deep Learning,"Hang Zhang, Song Han, Matthias Seeger, Mu Li",http://hangzhang.org/CVPR2020/,15-Jun,Half-day (afternoon)
Fairness Accountability Transparency and Ethics and Computer Vision,"Timnit Gebru, Emily Denton",https://sites.google.com/fatecv-tutorial,19-Jun,Half-day (afternoon)
Local Features: From SIFT to Differentiable Methods,"Vassileios Balntas, Dmytro Mishkin, Edgar Riba",https://local-features-tutorial.github.io/,15-Jun,Half-day (morning)
Visual Physics: The Interplay Between Physics and Computer Vision,"Achuta Kadambi, William Freeman, Katerina Fragkiadaki, Laura Waller, Ayan Chakrabarti",https://visual.ee.ucla.edu/visualphysicstutorial.htm,19-Jun,Half-day (afternoon)
